time (fs),deltaI
382.217,-0.01054825
382.159799,-1.013060966
382.1025981,-2.279392819
382.0453971,-3.281905536
381.9881961,-4.231654426
381.9309952,-5.497986278
381.8737942,-6.553262822
381.8165932,-7.080901094
381.7593923,-7.291956403
381.7021913,-7.133664922
381.6449903,-6.869845786
381.5877893,-6.289443686
381.5305884,-5.392458624
381.4733874,-4.759292698
381.4161864,-3.915071462
381.3589855,-3.756779981
381.3017845,-3.176377882
381.2445835,-2.543211955
381.1873826,-1.857282202
381.1301816,-1.171352448
381.0729806,-1.276880102
381.0157797,-1.487935411
380.9585787,-1.910046029
380.9013777,-2.279392819
380.8441768,-2.859794918
380.7869758,-3.492960845
380.7297748,-4.073362944
380.6725739,-4.864820352
380.6153729,-5.075875661
380.5581719,-5.339694797
380.5009709,-5.392458624
380.44377,-5.392458624
380.386569,-4.970348006
380.329368,-4.178890598
380.2721671,-3.123614054
380.2149661,-2.06833751
380.1577651,-1.32964393
380.1005642,-0.696478003
380.0433632,-0.063312077
379.9861622,0.517090022
379.9289613,0.728145331
379.8717603,0.728145331
379.8145593,0.464326195
379.7573584,-0.168839731
379.7001574,-0.37989504
379.6429564,-0.907533312
379.5857555,-1.540699238
379.5285545,-2.543211955
379.4713535,-3.38743319
379.4141525,-4.126126771
379.3569516,-4.70652887
379.2997506,-5.075875661
379.2425496,-5.497986278
379.1853487,-5.550750106
379.1281477,-5.128639488
379.0709467,-4.548237389
379.0137458,-4.020599117
378.9565448,-3.651252326
378.8993438,-2.965322573
378.8421429,-2.595975782
378.7849419,-2.121101338
378.7277409,-1.857282202
378.67054,-2.015573683
378.613339,-2.06833751
378.556138,-2.06833751
378.498937,-2.015573683
378.4417361,-2.490448128
378.3845351,-2.859794918
378.3273341,-3.651252326
378.2701332,-4.389945907
378.2129322,-4.917584179
378.1557312,-5.497986278
378.0985303,-5.867333069
378.0413293,-6.236679859
377.9841283,-6.02562455
377.9269274,-5.709041587
377.8697264,-5.128639488
377.8125254,-4.653765043
377.7553245,-4.442709734
377.6981235,-3.915071462
377.6409225,-3.440197018
377.5837216,-2.64873961
377.5265206,-2.279392819
377.4693196,-1.804518374
377.4121186,-1.646226893
377.3549177,-1.540699238
377.2977167,-1.487935411
377.2405157,-2.015573683
377.1833148,-2.754267264
377.1261138,-3.809543808
377.0689128,-4.495473562
377.0117119,-5.075875661
376.9545109,-5.339694797
376.8973099,-5.445222451
376.840109,-5.497986278
376.782908,-5.075875661
