Wavelength (nm),intensity
864.41,14304
870.88,10957
877.36,12645
883.85,12129
890.34,10389
896.84,12639
903.34,11293
909.85,12375
916.37,12573
922.89,10800
929.41,12981
935.95,12165
942.48,9660
949.03,14035
955.58,11088
962.13,12113
968.69,12069
975.25,11725
981.82,11827
988.4,11701
994.98,12697
1001.57,12976
1008.16,10684
1014.75,12288
1021.35,12357
1027.96,11913
1034.57,10454
1041.18,11152
1047.8,12193
1054.43,11960
1061.06,10170
1067.69,11901
1074.33,11645
1080.97,11609
1087.62,10969
1094.27,11663
1100.93,12073
1107.59,12613
1114.26,13008
1120.93,11305
1127.6,11977
1134.28,11629
1140.96,10528
1147.65,11921
1154.34,11977
1161.03,10484
1167.73,10369
1174.43,10316
1181.14,14045
1187.84,11297
1194.56,11977
1201.27,10770
1208,12395
1214.72,10809
1221.45,12221
1228.18,12193
1234.91,11928
1241.65,10929
1248.39,12453
1255.14,11597
1261.88,9264
1268.63,13277
1275.39,11019
1282.15,12025
1288.91,11417
1295.67,12109
1302.44,10449
1309.2,12109
1315.98,11893
1322.75,9645
1329.53,12609
1336.31,13405
1343.09,11109
1349.88,11665
1356.67,11072
1363.46,11588
1370.25,14041
1377.05,10437
1383.84,10947
1390.64,11957
1397.45,11849
1404.25,11116
1411.06,11413
1417.87,10924
1424.68,12405
1431.49,9333
1438.31,11821
1445.13,11525
1451.95,10309
1458.77,9777
1465.59,12261
1472.41,10807
1479.24,11825
1486.07,10768
1492.9,11388
1499.73,12672
1506.56,13413
1513.4,11556
1520.23,11277
1527.07,10369
1533.91,12134
1540.75,13277
1547.59,11365
1554.43,12313
1561.27,11260
1568.12,14097
1574.96,13405
1581.81,13495
1588.66,15849
1595.51,16521
1602.36,18657
1609.21,20001
1616.06,22180
1622.91,25623
1629.76,28533
1636.61,31637
1643.47,34100
1650.32,37185
1657.17,40393
1664.03,45636
1670.88,45229
1677.74,49609
1684.6,51193
1691.45,47415
1698.31,51600
1705.16,45481
1712.02,47667
1718.88,41921
1725.73,39268
1732.59,37575
1739.45,31602
1746.3,28860
1753.16,24947
1760.01,22925
1766.87,20640
1773.72,17284
1780.58,16343
1787.43,14633
1794.29,15328
1801.14,12325
1807.99,13056
1814.84,13269
1821.7,12347
1828.55,11349
1835.4,11549
1842.25,11965
1849.09,11869
1855.94,11175
1862.79,11382
1869.63,10917
1876.48,12214
1883.32,11973
1890.16,11381
1897,11509
1903.84,9408
1910.68,12176
1917.52,10449
1924.35,10405
1931.19,11989
1938.02,11532
1944.85,10753
1951.68,11405
1958.51,12105
1965.33,9617
1972.16,10012
1978.98,13561
1985.8,9445
1992.62,10548
1999.44,11281
2006.25,12144
2013.06,11196
2019.88,11472
2026.68,10612
2033.49,11133
2040.3,11260
2047.1,11281
2053.9,10192
2060.7,11361
2067.49,11404
2074.28,11256
2081.07,9357
2087.86,11995
2094.65,10432
2101.43,9927
2108.21,11845
2114.99,11109
2121.76,12453
2128.53,10612
2135.3,10273
2142.07,12005
2148.83,11841
2155.59,10613
2162.34,13728
2169.1,8225
2175.85,12384
2182.59,10301
2189.34,12401
2196.08,10672
2202.82,13152
2209.55,9204
2216.28,13092
2223.01,9796
2229.73,12113
2236.45,11620
2243.17,11428
2249.88,9721
2256.59,11143
2263.29,10868
2269.99,12857
2276.69,10309
2283.38,12201
2290.07,9960
2296.76,10409
2303.44,12973
2310.12,10365
2316.79,12053
2323.46,10233
2330.12,11729
2336.78,10212
2343.44,11713
2350.09,11564
2356.73,11605
2363.38,10947
2370.01,10737
2376.65,10813
2383.28,11229
2389.9,10449
2396.52,12105
2403.13,11793
2409.74,10685
2416.35,10123
2422.95,10333
2429.54,12601
2436.13,9157
2442.72,10757
2449.3,11637
2455.87,9585
2462.44,11673
2469,10581
2475.56,10544
2482.11,11301
2488.66,11453
2495.2,9495
2501.74,11652
2508.27,10127
2514.8,11897
2521.32,11489
2527.83,9972
2534.34,10001
2540.84,11937
2547.34,11460
2553.83,12657
2560.31,10709
2566.79,11028
2573.27,10037
