Wavelength (nm),Intensity
186.7,777
187.18,765
187.65,769
188.13,775
188.61,782
189.08,778
189.56,752
190.04,764
190.51,767
190.99,762
191.46,762
191.94,770
192.42,778
192.89,757
193.37,772
193.84,769
194.32,788
194.8,762
195.27,754
195.75,774
196.22,765
196.7,762
197.18,757
197.65,781
198.13,760
198.6,762
199.08,769
199.55,776
200.03,767
200.51,772
200.98,762
201.46,776
201.93,760
202.41,773
202.88,786
203.36,793
203.84,769
204.31,755
204.79,770
205.26,790
205.74,761
206.21,748
206.69,779
207.16,774
207.64,746
208.11,734
208.59,764
209.06,737
209.54,764
210.01,765
210.49,766
210.97,776
211.44,761
211.92,753
212.39,767
212.87,775
213.34,756
213.82,765
214.29,785
214.77,769
215.24,772
215.72,747
216.19,759
216.67,780
217.14,754
217.61,759
218.09,770
218.56,794
219.04,772
219.51,773
219.99,779
220.46,788
220.94,767
221.41,783
221.89,770
222.36,780
222.84,779
223.31,764
223.79,782
224.26,765
224.73,761
225.21,753
225.68,750
226.16,776
226.63,766
227.11,758
227.58,749
228.05,772
228.53,749
229,754
229.48,776
229.95,760
230.43,776
230.9,768
231.37,785
231.85,755
232.32,756
232.8,753
233.27,766
233.74,750
234.22,759
234.69,760
235.17,769
235.64,752
236.11,747
236.59,756
237.06,783
237.54,788
238.01,762
238.48,776
238.96,781
239.43,773
239.9,767
240.38,773
240.85,767
241.33,745
241.8,776
242.27,783
242.75,772
243.22,761
243.69,755
244.17,778
244.64,799
245.11,762
245.59,780
246.06,766
246.53,756
247.01,762
247.48,756
247.95,784
248.43,785
248.9,759
249.37,769
249.85,779
250.32,778
250.79,756
251.27,760
251.74,774
252.21,792
252.68,766
253.16,782
253.63,777
254.1,785
254.58,757
255.05,770
255.52,762
256,772
256.47,760
256.94,781
257.41,793
257.89,740
258.36,771
258.83,774
259.3,765
259.78,769
260.25,768
260.72,784
261.2,769
261.67,780
262.14,759
262.61,773
263.09,765
263.56,767
264.03,758
264.5,753
264.98,777
265.45,763
265.92,798
266.39,779
266.86,757
267.34,767
267.81,761
